case_id,group,radius,allocated_images,state,decision,nominal_delta,lower,upper,minimum_images_for_excluding_world
image-48,singleton,4,1,complete,unresolved,1/1,-1/1,1/1,1
image-48,singleton,8,1,complete,unresolved,1/1,-1/1,1/1,1
image-48,singleton,16,1,complete,unresolved,1/1,-1/1,1/1,1
image-48,singleton,32,1,complete,unresolved,1/1,-1/1,1/1,1
image-48,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-49,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-49,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-49,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-49,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-49,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-49,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-49,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-49,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-50,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-50,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-50,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-50,singleton,4,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-50,singleton,8,1,complete,unresolved,2/1,0/1,2/1,1
image-50,singleton,16,1,complete,unresolved,2/1,0/1,2/1,1
image-50,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-50,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-51,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-51,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-51,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-51,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-51,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-51,singleton,16,1,complete,unresolved,0/1,-2/1,2/1,0
image-51,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-51,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-52,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-52,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-52,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-52,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-52,singleton,8,1,complete,unresolved,1/1,-1/1,3/1,1
image-52,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-52,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-52,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-53,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-53,singleton,64,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,16,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,32,1,complete,excluded,0/1,0/1,0/1,0
image-54,singleton,64,1,complete,excluded,0/1,-2/1,0/1,0
image-55,singleton,0,1,complete,excluded,-2/1,-2/1,-2/1,0
image-55,singleton,1,1,complete,excluded,-2/1,-2/1,-2/1,0
image-55,singleton,2,1,complete,excluded,-2/1,-2/1,-2/1,0
image-55,singleton,4,1,complete,excluded,-2/1,-2/1,0/1,0
image-55,singleton,8,1,complete,excluded,-2/1,-2/1,0/1,0
image-55,singleton,16,1,complete,excluded,-2/1,-2/1,0/1,0
image-55,singleton,32,1,complete,excluded,-2/1,-4/1,0/1,0
image-55,singleton,64,1,complete,excluded,-2/1,-4/1,0/1,0
image-56,singleton,0,1,complete,excluded,0/1,0/1,0/1,0
image-56,singleton,1,1,complete,excluded,0/1,0/1,0/1,0
image-56,singleton,2,1,complete,excluded,0/1,0/1,0/1,0
image-56,singleton,4,1,complete,excluded,0/1,0/1,0/1,0
image-56,singleton,8,1,complete,excluded,0/1,0/1,0/1,0
image-56,singleton,16,1,complete,excluded,0/1,-2/1,0/1,0
image-56,singleton,32,1,complete,unresolved,0/1,-2/1,2/1,0
image-56,singleton,64,1,complete,unresolved,0/1,-2/1,2/1,0
image-57,singleton,0,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-57,singleton,1,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-57,singleton,2,1,complete,supported,2/1,2/1,2/1,not_possible_in_family
image-57,singleton,4,1,complete,unresolved,2/1,0/1,2/1,1
image-57,singleton,8,1,complete,unresolved,2/1,0/1,4/1,1
image-57,singleton,16,1,complete,unresolved,2/1,0/1,4/1,1
image-57,singleton,32,1,complete,unresolved,2/1,0/1,4/1,1
image-57,singleton,64,1,complete,unresolved,2/1,0/1,4/1,1
image-58,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-58,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-58,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-58,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-58,singleton,8,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-58,singleton,16,1,complete,unresolved,1/1,-1/1,3/1,1
image-58,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-58,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-59,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-59,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-59,singleton,2,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-59,singleton,4,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-59,singleton,8,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-59,singleton,16,1,complete,unresolved,1/1,-1/1,1/1,1
image-59,singleton,32,1,complete,unresolved,1/1,-1/1,3/1,1
image-59,singleton,64,1,complete,unresolved,1/1,-1/1,3/1,1
image-60,singleton,0,1,complete,excluded,-3/1,-3/1,-3/1,0
image-60,singleton,1,1,complete,excluded,-3/1,-3/1,-3/1,0
image-60,singleton,2,1,complete,excluded,-3/1,-3/1,-3/1,0
image-60,singleton,4,1,complete,excluded,-3/1,-3/1,-3/1,0
image-60,singleton,8,1,complete,excluded,-3/1,-5/1,-1/1,0
image-60,singleton,16,1,complete,excluded,-3/1,-5/1,-1/1,0
image-60,singleton,32,1,complete,excluded,-3/1,-5/1,-1/1,0
image-60,singleton,64,1,complete,excluded,-3/1,-5/1,-1/1,0
image-61,singleton,0,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-61,singleton,1,1,complete,supported,1/1,1/1,1/1,not_possible_in_family
image-61,singleton,2,1,complete,unresolved,1/1,-1/1,1/1,1
image-61,singleton,4,1,complete,unresolved,1/1,-1/1,1/1,1
image-61,singleton,8,1,complete,unresolved,1/1,-1/1,1/1,1
image-61,singleton,16,1,complete,unresolved,1/1,-1/1,1/1,1
image-61,singleton,32,1,complete,unresolved,1/1,-1/1,1/1,1
image-61,singleton,64,1,complete,unresolved,1/1,-1/1,1/1,1
image-62,singleton,0,1,complete,supported,3/1,3/1,3/1,not_possible_in_family
image-62,singleton,1,1,complete,supported,3/1,3/1,3/1,not_possible_in_family
image-62,singleton,2,1,complete,supported,3/1,3/1,5/1,not_possible_in_family
image-62,singleton,4,1,complete,supported,3/1,3/1,5/1,not_possible_in_family
image-62,singleton,8,1,complete,supported,3/1,3/1,5/1,not_possible_in_family
image-62,singleton,16,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-62,singleton,32,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-62,singleton,64,1,complete,supported,3/1,1/1,5/1,not_possible_in_family
image-63,singleton,0,1,complete,excluded,-1/1,-1/1,-1/1,0
image-63,singleton,1,1,complete,excluded,-1/1,-1/1,-1/1,0
image-63,singleton,2,1,complete,excluded,-1/1,-1/1,-1/1,0
image-63,singleton,4,1,complete,excluded,-1/1,-1/1,-1/1,0
image-63,singleton,8,1,complete,excluded,-1/1,-1/1,-1/1,0
image-63,singleton,16,1,complete,unresolved,-1/1,-3/1,1/1,0
image-63,singleton,32,1,complete,unresolved,-1/1,-3/1,1/1,0
image-63,singleton,64,1,complete,unresolved,-1/1,-3/1,1/1,0
block-00,block,0,8,complete,supported,1/1,1/1,1/1,not_possible_in_family
block-00,block,1,8,complete,supported,1/1,1/1,5/4,not_possible_in_family
block-00,block,2,8,complete,supported,1/1,1/1,3/2,not_possible_in_family
block-00,block,4,8,complete,supported,1/1,1/1,3/2,not_possible_in_family
block-00,block,8,8,complete,supported,1/1,1/2,7/4,not_possible_in_family
block-00,block,16,8,complete,unresolved,1/1,0/1,9/4,4
block-00,block,32,8,complete,unresolved,1/1,-1/2,11/4,4
block-00,block,64,8,complete,unresolved,1/1,-1/1,11/4,4
block-01,block,0,8,complete,supported,7/4,7/4,7/4,not_possible_in_family
block-01,block,1,8,complete,supported,7/4,5/4,7/4,not_possible_in_family
block-01,block,2,8,complete,supported,7/4,5/4,7/4,not_possible_in_family
block-01,block,4,8,complete,supported,7/4,1/1,7/4,not_possible_in_family
block-01,block,8,8,complete,supported,7/4,3/4,5/2,not_possible_in_family
block-01,block,16,8,complete,supported,7/4,1/4,13/4,not_possible_in_family
block-01,block,32,8,complete,unresolved,7/4,-1/4,7/2,7
block-01,block,64,8,complete,unresolved,7/4,-1/4,15/4,7
block-02,block,0,8,complete,supported,1/4,1/4,1/4,not_possible_in_family
block-02,block,1,8,complete,supported,1/4,1/4,1/4,not_possible_in_family
block-02,block,2,8,complete,supported,1/4,1/4,1/4,not_possible_in_family
block-02,block,4,8,complete,unresolved,1/4,0/1,1/4,1
block-02,block,8,8,complete,unresolved,1/4,0/1,1/2,1
block-02,block,16,8,complete,unresolved,1/4,-1/4,5/4,1
block-02,block,32,8,complete,unresolved,1/4,-1/1,7/4,1
block-02,block,64,8,complete,unresolved,1/4,-1/1,7/4,1
block-03,block,0,8,complete,excluded,0/1,0/1,0/1,0
block-03,block,1,8,complete,unresolved,0/1,0/1,1/2,0
block-03,block,2,8,complete,unresolved,0/1,0/1,1/2,0
block-03,block,4,8,complete,unresolved,0/1,0/1,3/4,0
block-03,block,8,8,complete,unresolved,0/1,-3/4,1/1,0
block-03,block,16,8,complete,unresolved,0/1,-3/2,7/4,0
block-03,block,32,8,complete,unresolved,0/1,-2/1,9/4,0
block-03,block,64,8,complete,unresolved,0/1,-2/1,9/4,0
block-04,block,0,8,complete,supported,3/4,3/4,3/4,not_possible_in_family
block-04,block,1,8,complete,supported,3/4,3/4,3/4,not_possible_in_family
block-04,block,2,8,complete,supported,3/4,3/4,3/4,not_possible_in_family
block-04,block,4,8,complete,supported,3/4,1/2,1/1,not_possible_in_family
block-04,block,8,8,complete,unresolved,3/4,-1/4,5/4,3
block-04,block,16,8,complete,unresolved,3/4,-1/2,3/2,3
block-04,block,32,8,complete,unresolved,3/4,-3/4,2/1,3
block-04,block,64,8,complete,unresolved,3/4,-3/4,5/2,3
block-05,block,0,8,complete,supported,1/8,1/8,1/8,not_possible_in_family
block-05,block,1,8,complete,supported,1/8,1/8,1/8,not_possible_in_family
block-05,block,2,8,complete,supported,1/8,1/8,1/8,not_possible_in_family
block-05,block,4,8,complete,supported,1/8,1/8,3/8,not_possible_in_family
block-05,block,8,8,complete,unresolved,1/8,-3/8,3/8,1
block-05,block,16,8,complete,unresolved,1/8,-5/8,7/8,1
block-05,block,32,8,complete,unresolved,1/8,-7/8,9/8,1
block-05,block,64,8,complete,unresolved,1/8,-7/8,9/8,1
block-06,block,0,8,complete,supported,1/4,1/4,1/4,not_possible_in_family
block-06,block,1,8,complete,unresolved,1/4,0/1,1/4,1
block-06,block,2,8,complete,unresolved,1/4,0/1,1/4,1
block-06,block,4,8,complete,unresolved,1/4,0/1,1/2,1
block-06,block,8,8,complete,unresolved,1/4,-1/2,3/4,1
block-06,block,16,8,complete,unresolved,1/4,-3/4,1/1,1
block-06,block,32,8,complete,unresolved,1/4,-5/4,3/2,1
block-06,block,64,8,complete,unresolved,1/4,-3/2,7/4,1
block-07,block,0,8,complete,supported,1/2,1/2,1/2,not_possible_in_family
block-07,block,1,8,complete,supported,1/2,1/2,1/2,not_possible_in_family
block-07,block,2,8,complete,supported,1/2,1/4,3/4,not_possible_in_family
block-07,block,4,8,complete,unresolved,1/2,0/1,3/4,2
block-07,block,8,8,complete,unresolved,1/2,-1/4,5/4,2
block-07,block,16,8,complete,unresolved,1/2,-3/2,7/4,2
block-07,block,32,8,complete,unresolved,1/2,-3/2,9/4,2
block-07,block,64,8,complete,unresolved,1/2,-3/2,9/4,2
all-64,primary,0,64,complete,supported,37/64,37/64,37/64,not_possible_in_family
all-64,primary,1,64,complete,supported,37/64,31/64,43/64,not_possible_in_family
all-64,primary,2,64,complete,supported,37/64,29/64,47/64,not_possible_in_family
all-64,primary,4,64,complete,supported,37/64,21/64,55/64,not_possible_in_family
all-64,primary,8,64,complete,unresolved,37/64,-7/64,75/64,19
all-64,primary,16,64,complete,unresolved,37/64,-39/64,109/64,19
all-64,primary,32,64,complete,unresolved,37/64,-65/64,137/64,19
all-64,primary,64,64,complete,unresolved,37/64,-71/64,145/64,19
